col1	col2	col3	col4	col5
1	False	7196	1524	5927
2	True	6135	518	5657
3	True	5372	9033	9339
4	False	7496	8431	293
5	True	8258	6125	9077
6	False	6315	3599	4735
7	False	1385	7047	6360
8	False	7991	1171	7704
9	False	8841	7196	2277
10	True	3433	7830	9268
11	True	9610	2302	209
12	True	9714	7112	8784
13	True	2437	7005	4657
14	False	1006	7608	2368
15	True	1991	5483	9761
16	False	2128	1943	9011
17	True	3068	1874	8473
18	True	9151	8577	3945
19	True	9760	2046	3745
20	True	8669	3346	9051
21	True	5125	5301	2207
22	True	545	1063	1854
23	True	1019	6220	5354
24	True	7585	32	1735
25	True	9836	2035	3719
26	False	5590	1329	5644
27	False	932	7097	6128
28	False	5001	2145	1470
29	False	8159	684	8597
30	False	8769	5203	9682
31	True	14	1048	4564
32	True	1939	9425	5644
33	False	5829	6192	3366
34	True	8899	7574	3426
35	True	1920	7746	6875
36	True	5841	752	1271
37	False	6429	4266	1632
38	True	4013	5512	4734
39	False	4654	5396	4335
40	True	716	7657	631
41	False	8532	4226	8831
42	True	1608	4104	1988
43	False	3470	3625	9524
44	False	3757	709	9695
45	False	6398	64	4692
46	False	6242	3100	9663
47	True	7928	9014	7908
48	True	2221	1280	5429
49	True	6429	3340	9015
50	False	8190	5335	8686
51	False	4918	3612	7335
52	True	6286	6167	1785
53	True	8689	2326	8786
54	False	8213	6226	5356
55	True	5622	9974	5203
56	False	5495	1182	2895
57	False	4911	8144	5642
58	True	8199	8190	2321
59	False	5049	403	3225
60	True	8393	2851	4494
61	True	1706	7180	80
62	False	7328	6475	8285
63	False	967	7047	8943
64	True	3178	7009	5512
65	False	1987	8005	7850
66	True	9028	6303	2947
67	False	5304	1492	5966
68	False	5830	6792	4775
69	True	2293	345	2391
70	True	1934	9215	6783
71	False	8922	2741	1551
72	True	2242	7570	13
73	False	2163	3809	9071
74	True	9647	7811	3608
75	True	6903	2155	5223
76	True	5313	201	4838
77	True	6668	8	7017
78	True	2039	6305	6419
79	True	829	9987	3455
80	True	6022	4418	7345
81	False	5194	2458	5748
82	False	7768	384	5714
83	False	1491	9787	1847
84	False	1895	8660	7129
85	False	6660	4065	4775
86	False	8126	7704	342
87	True	7467	6308	736
88	False	1260	4862	6366
89	True	2800	5157	1396
90	False	2993	3040	7611
91	True	2213	9578	3478
92	True	2116	6271	9503
93	False	8356	905	3315
94	False	2854	7601	452
95	False	7822	5006	6786
96	True	9348	4991	8261
97	True	7871	7892	9278
98	True	7789	6419	8799
99	False	410	2692	7911
100	False	9227	807	2927
