col1,col2,col3,col4,col5
1,False,08,194,8674
2,True,12,9612,5822
3,True,35,588,3518
4,False,03,262,3453
5,True,20,5661,1985
6,True,01,4109,2396
7,True,21,6953,2728
8,True,09,2764,3269
9,False,23,287,7880
10,False,09,7798,805
11,False,46,4017,7646
12,False,31,8004,5821
13,False,31,4192,730
14,False,06,4709,8702
15,True,21,4597,3176
16,True,21,5306,9431
17,False,31,608,6267
18,False,15,9910,2636
19,True,28,284,9258
20,False,45,2718,9740
21,False,17,3194,6605
22,False,03,6759,4735
23,True,34,5933,4597
24,True,43,2660,3217
25,True,31,5218,3750
26,False,13,9806,9021
27,False,19,8463,8423
28,True,06,1613,9127
29,True,09,571,2026
30,True,05,3941,3431
31,False,44,8694,5123
32,True,40,7090,4392
33,False,34,7323,3017
34,False,40,3355,327
35,True,13,2081,5394
36,False,15,8427,5942
37,False,26,7562,4269
38,False,10,1404,9724
39,False,21,848,6111
40,False,14,2865,9003
41,True,05,8074,7973
42,False,12,9056,1423
43,False,46,137,5770
44,False,20,9125,3479
45,False,22,6155,1598
46,False,02,8017,8709
47,True,44,5632,5088
48,False,12,3707,8987
49,True,21,5364,6018
50,False,02,1164,9435
51,True,05,903,6365
52,False,01,2238,320
53,False,19,9339,3080
54,True,21,4930,3924
55,False,07,8953,2688
56,True,25,5062,9825
57,True,07,4852,3857
58,True,05,8083,8384
59,False,02,5545,4150
60,True,14,2955,1870
61,True,45,3892,9569
62,False,29,859,499
63,True,33,8073,4009
64,False,47,5323,8679
65,True,29,8329,9144
66,True,40,6551,5183
67,False,45,757,942
68,True,19,5383,9126
69,False,33,3927,2386
70,False,46,8160,5968
71,True,39,7732,1706
72,True,30,2526,9415
73,False,07,8458,2485
74,True,47,9947,1339
75,False,30,5787,6330
76,True,29,8796,6120
77,False,03,1053,8543
78,False,10,6362,2980
79,False,38,1038,3146
80,True,23,7827,7655
81,False,22,6542,1456
82,True,32,3584,8368
83,False,44,7087,7409
84,True,35,1609,6614
85,False,30,1120,7854
86,True,31,7038,1259
87,True,43,3896,3632
88,False,19,5539,4567
89,False,16,8965,5538
90,False,21,4115,6918
91,False,27,9496,731
92,True,37,52,411
93,True,12,5651,8856
94,True,18,5766,8980
95,True,35,2989,3381
96,True,42,6615,6115
97,True,42,1154,1275
98,True,20,1159,6683
99,False,35,6692,9052
100,False,17,2232,2590
